;Name;Position;Nationality;Age;Height;Weight
1545;Adriano Ferreira Pinto;Midfielder;Brazilian;31;179;81
1546;German Denis;Forward;Argentinian;30;183;78
1547;Manolo Gabbiadini;Forward;Italian;19;186;81
1548;Matteo Ardemagni;Forward;Italian;24;185;84
1549;Guido Marilungo;Forward;Italian;22;176;72
1550;Simone Tiribocchi;Forward;Italian;33;178;85
1551;Jean-francois Gillet;Goalkeeper;Belgian;32;181;78
1552;Mikael Antonsson;Defender;Swedish;30;189;80
1553;Gy<U+00F6>rgy Garics;Defender;Austrian;27;183;76
1554;Simone Loria;Defender;Italian;34;186;78
1555;Jos<U+00E9> <U+00C1>ngel Crespo;Defender;Spanish;24;183;72
1556;Andrea Raggi;Defender;Italian;27;184;80
1557;Daniele Portanova;Defender;Italian;32;185;78
1558;Nico Pulzetti;Midfielder;Italian;27;175;70
1559;Diego Perez;Midfielder;Uruguayan;31;177;81
1560;Federico Casarini;Midfielder;Italian;22;181;72
1561;Luigi Vitale;Midfielder;Italian;23;180;70
1562;Alessandro Diamanti;Midfielder;Italian;28;179;75
1563;Gaby Mudingayi;Midfielder;Belgian;29;180;80
1564;Panagiotis Kone;Midfielder;Greek;NA;184;75
1565;Marco Di Vaio;Forward;Italian;35;179;78
1566;Gaston Ramirez;Forward;Uruguayan;20;183;77
1567;Andrea Pisanu;Forward;Italian;29;173;72
1568;Daniele Vantaggiato;Forward;Italian;26;177;81
1569;Daniele Paponi;Forward;Italian;23;182;72
1570;Henry Gimenez;Forward;Uruguayan;25;176;69
1571;Robert Acquafresca;Forward;Italian;24;184;70
1572;Michael Agazzi;Goalkeeper;Italian;27;189;85
1573;Vlada Avramov;Goalkeeper;Serbian;32;188;80
1574;Lorenzo Ariaudo;Defender;Italian;22;186;71
1575;Davide Astori;Defender;Italian;24;188;80
1576;Francesco Pisano;Defender;Italian;25;174;67
1577;Michele Canini;Defender;Italian;26;187;78
1578;Alessandro Agostini;Defender;Italian;32;174;66
1579;Albin Ekdal;Midfielder;Swedish;22;186;75
1580;Radja Nainggolan;Midfielder;Belgian;23;175;65
1581;Daniele Conti;Midfielder;Italian;32;178;71
1582;Andrea Cossu;Midfielder;Italian;31;170;63
1583;Davide Biondini;Midfielder;Italian;28;178;67
1584;Rui Sampaio;Midfielder;Portuguese;24;186;75
1585;Victor Ibarbo;Midfielder;Colombian;21;186;77
1586;Thiago Ribeiro;Forward;Brazilian;25;185;74
1587;Joaquin Larrivey;Forward;Argentinian;27;185;80
1588;Moestafa El Kabir;Forward;Dutch;23;178;76
1589;Neno;Forward;Brazilian;28;183;78
1590;Tomas  Kosicky;Goalkeeper;Slovakian;25;197;93
1591;Mariano Andujar;Goalkeeper;Argentinian;28;194;87
1592;Andrea Campagnolo;Goalkeeper;Italian;NA;184;80
1593;Alessandro Potenza;Defender;Italian;NA;185;78
1594;Nicolas Spolli;Defender;Argentinian;28;192;86
1595;Giovanni Marchese;Defender;Italian;26;182;75
1596;Giuseppe Bellusci;Defender;Italian;22;185;81
1597;Pablo <U+00C1>lvarez;Defender;Argentinian;27;177;78
1598;Ciro Capuano;Defender;Italian;30;185;78
1599;Nicola Legrottaglie;Defender;Italian;34;185;82
1600;Sergio Almiron;Midfielder;Argentinian;30;180;76
1601;Mario Paglialunga;Midfielder;Argentinian;22;182;81
1602;Pablo Ledesma;Midfielder;Argentinian;27;178;73
1603;Francesco Lodi;Midfielder;Italian;27;183;70
1604;Mariano Izco;Midfielder;Argentinian;28;180;77
1605;Sergio Gontan Gallardo Keko;Midfielder;Spanish;19;173;70
1606;Cristian Llama;Midfielder;Argentinian;25;179;77
1607;Adrian Ricchiuti;Midfielder;Argentinian;33;168;70
1608;Fabio Sciacca;Midfielder;Italian;22;182;76
1609;Gennaro Delvecchio;Midfielder;Italian;33;191;83
1610;Marco Biagianti;Midfielder;Italian;27;180;73
1611;Pablo Barrientos;Midfielder;Argentinian;26;176;69
1612;Davide Lanzafame;Forward;Italian;24;180;75
1613;David Suazo;Forward;Honduran;31;182;75
1614;Gonzalo Bergessio;Forward;Argentinian;27;178;72
1615;Maximiliano Gaston Lopez;Forward;Argentinian;27;188;81
1616;Alejandro Gomez;Forward;Argentinian;23;164;60
1617;Julio Cesar;Goalkeeper;Brazilian;32;186;79
1618;Luca Castellazzi;Goalkeeper;Italian;36;192;89
1619;Paolo Orlandoni;Goalkeeper;Italian;39;186;78
1620;Emiliano Viviano;Goalkeeper;Italian;25;195;89
1621;Ivan Cordoba;Defender;Colombian;35;173;70
1622;Javier Zanetti;Defender;Argentinian;38;178;75
1623;Lucio;Defender;Brazilian;33;188;84
1624;Maicon;Defender;Brazilian;30;184;77
1625;Andrea Ranocchia;Defender;Italian;23;195;82
1626;Nelson Rivas;Defender;Colombian;28;182;83
1627;Walter Samuel;Defender;Argentinian;33;183;83
1628;Cristian Chivu;Defender;Romanian;30;184;81
1629;Jonathan;Defender;Brazilian;25;170;72
1630;Yuto Nagatomo;Defender;Japanese;25;170;68
1631;Dejan Stankovic;Midfielder;Serbian;33;181;75
1632;Thiago Motta;Midfielder;Italian;29;187;83
1633;Wesley Sneijder;Midfielder;Dutch;27;170;67
1634;Ricardo <U+00C1>lvarez;Midfielder;Argentinian;23;188;84
1635;Andrea Poli;Midfielder;Italian;21;181;70
1636;Esteban Cambiasso;Midfielder;Argentinian;31;177;78
1637;Joel Obi;Midfielder;Nigerian;20;177;72
1638;Philippe Coutinho;Midfielder;Brazilian;19;171;72
1639;Sulley Muntari;Midfielder;Ghanaian;27;179;79
1640;Giampaolo Pazzini;Forward;Italian;27;180;77
1641;Diego Forlan;Forward;Uruguayan;32;180;75
1642;Diego Milito;Forward;Argentinian;32;183;78
1643;Mauro Matias Zarate;Forward;Argentinian;24;176;76
1644;Luc Castaignos;Forward;Dutch;18;188;78
1645;Sebastien Frey;Goalkeeper;French;31;189;89
1646;Cristiano Lupatelli;Goalkeeper;Italian;33;189;86
1647;Alessio Scarpi;Goalkeeper;Italian;38;189;79
1648;Dario Dainelli;Defender;Italian;32;191;87
1649;Andreas Granqvist;Defender;Swedish;25;192;83
1650;Kakhaber Kaladze;Defender;Georgian;33;186;76
1651;Cesare Bovo;Defender;Italian;28;181;75
1652;Luca Antonelli;Defender;Italian;24;184;79
1653;Emiliano Moretti;Defender;Italian;30;183;78
1654;Miguel Veloso;Midfielder;Portuguese;25;180;79
1655;Marco Rossi;Midfielder;Italian;33;181;67
1656;Valter Birsa;Midfielder;Slovenian;25;184;79
1657;Felipe Seymour;Midfielder;Chilean;24;174;67
1658;Cristobal Jorquera;Midfielder;Chilean;23;174;69
1659;Giandomenico Mesto;Midfielder;Italian;29;183;77
1660;Kevin Constant;Midfielder;Guinean;24;184;78
1661;Juraj Kucka;Midfielder;Slovakian;24;186;85
1662;Alexander Merkel;Midfielder;German;19;177;67
1663;Lucas Pratto;Forward;Argentinian;23;188;82
1664;Rodrigo Palacio;Forward;Argentinian;29;175;66
1665;Ze Eduardo;Forward;Brazilian;23;179;82
1666;Bosko Jankovic;Forward;Serbian;27;184;78
1667;Sebastian Ribas;Forward;Uruguayan;23;189;86
1668;Andrea Caracciolo;Forward;Italian;29;194;80
1669;Gianluigi Buffon;Goalkeeper;Italian;33;191;83
1670;Alexander Manninger;Goalkeeper;Austrian;34;188;84
1671;Marco Storari;Goalkeeper;Italian;34;187;76
1672;Marco Motta;Defender;Italian;25;186;76
1673;Giorgio Chiellini;Defender;Italian;27;186;76
1674;Fabio Grosso;Defender;Italian;33;190;82
1675;Paolo De Ceglie;Defender;Italian;24;184;75
1676;Andrea Barzagli;Defender;Italian;30;186;79
1677;Leonardo Bonucci;Defender;Italian;24;190;82
1678;Stephan Lichtsteiner;Defender;Swiss;27;183;77
1679;Frederik S<U+00F6>rensen;Defender;Danish;19;194;80
1680;Michele Pazienza;Midfielder;Italian;29;178;75
1681;Claudio Marchisio;Midfielder;Italian;25;179;76
1682;Marcelo Estigarribia;Midfielder;Paraguayan;23;181;73
1683;Andrea Pirlo;Midfielder;Italian;32;177;68
1684;Arturo Vidal;Midfielder;Chilean;24;180;74
1685;Milos Krasic;Midfielder;Serbian;26;185;72
1686;Simone Pepe;Forward;Italian;28;178;73
1687;Vincenzo Iaquinta;Forward;Italian;31;190;85
1688;Alessandro Del Piero;Forward;Italian;36;173;73
1689;Mirko Vucinic;Forward;Montenegrin;27;186;76
1690;Eljero Elia;Forward;Dutch;24;176;70
1691;Fabio Quagliarella;Forward;Italian;28;180;79
1692;Luca Toni;Forward;Italian;34;194;88
1693;Emanuele Giaccherini;Forward;Italian;26;167;60
1694;Alessandro Matri;Forward;Italian;27;183;80
1695;Amauri;Forward;Italian;31;186;83
1696;Samir Ujkani;Goalkeeper;Albanian;23;186;78
1697;Giuseppe Gemiti;Defender;German;30;176;70
1698;Michel Morganella;Defender;Swiss;22;183;75
1699;Hernan Paolo Dellafiore;Defender;Italian;26;182;76
1700;Massimo Paci;Defender;Italian;33;190;88
1701;Santiago Garcia;Defender;Argentinian;23;191;86
1702;Ivan Radovanovic;Midfielder;Serbian;23;186;76
1703;Takayuki Morimoto;Forward;Japanese;23;180;75
1704;Pablo Granoche;Forward;Uruguayan;28;183;74
1705;Jeda;Forward;Brazilian;32;176;74
1706;Riccardo Meggiorini;Forward;Italian;26;181;74
1707;Nicola Pavarini;Goalkeeper;Italian;NA;190;81
1708;Antonio Mirante;Goalkeeper;Italian;28;188;79
1709;Cristian Zaccardo;Defender;Italian;29;184;77
1710;Alessandro Lucarelli;Defender;Italian;NA;182;78
1711;Goncalo Brandao;Defender;Portuguese;24;182;75
1712;Massimo Gobbi;Defender;Italian;30;183;79
1713;Matteo Rubin;Defender;Italian;24;183;75
1714;Francesco Modesto;Defender;Italian;NA;177;73
1715;Filipe Oliveira;Defender;Portuguese;27;182;72
1716;Gabriel Paletta;Defender;Argentinian;25;190;80
1717;Fabiano Santacroce;Defender;Italian;25;181;72
1718;Stefano Morrone;Midfielder;Italian;NA;178;71
1719;Daniele Galloppa;Midfielder;Italian;NA;181;74
1720;Jaime Valdes;Midfielder;Chilean;30;176;71
1721;Manuele Blasi;Midfielder;Italian;31;179;73
1722;Gianluca Musacci;Midfielder;Italian;24;180;72
1723;Francesco Valiani;Midfielder;Italian;30;173;68
1724;Jose Fernando Marques;Forward;Spanish;26;177;73
1725;Jonathan Ludovic Biabiany;Forward;French;23;177;73
1726;Hernan Crespo;Forward;Argentinian;36;184;78
1727;Sebastian Giovinco;Forward;Italian;24;164;62
1728;Sergio Floccari;Forward;Italian;29;180;79
1729;Raffaele Palladino;Forward;Italian;27;179;71
1730;Graziano Pell<U+00E9>;Forward;Italian;26;193;89
1731;Albano Bizzarri;Goalkeeper;Argentinian;33;188;82
1732;Federico Marchetti;Goalkeeper;Italian;28;186;76
1733;Juan Pablo Carrizo;Goalkeeper;Argentinian;27;188;88
1734;Guglielmo Stendardo;Defender;Italian;30;190;89
1735;Andre Dias;Defender;Brazilian;32;184;80
1736;Lionel Scaloni;Defender;Argentinian;33;182;80
1737;Javier Garrido;Defender;Spanish;26;178;75
1738;Giuseppe Biava;Defender;Italian;34;180;72
1739;Modibo Diakite;Defender;French;24;192;84
1740;Stefan Radu;Defender;Romanian;24;183;79
1741;Abdoulay Konko;Defender;French;27;182;71
1742;Marius Stankevicius;Defender;Lithuanian;30;190;83
1743;Luciano Zauri;Defender;Italian;33;178;75
1744;Stefano Mauri;Midfielder;Italian;31;184;79
1745;Hernanes;Midfielder;Brazilian;26;180;76
1746;Francelino Matuzalem Da Silva;Midfielder;Brazilian;31;175;73
1747;<U+00C1>lvaro Rafael Gonzalez;Midfielder;Uruguayan;27;176;72
1748;Senad Lulic;Midfielder;Bosnian;25;183;78
1749;Cristian Daniel Ledesma;Midfielder;Italian;28;180;78
1750;Lorik Cana;Midfielder;Albanian;28;186;80
1751;Cristian Brocchi;Midfielder;Italian;35;171;70
1752;Simone Del Nero;Midfielder;Italian;30;187;76
1753;Giuseppe Sculli;Forward;Italian;30;178;75
1754;Tommaso Rocchi;Forward;Italian;33;177;75
1755;Pasquale Foggia;Forward;Italian;28;170;71
1756;Libor Kozak;Forward;Czech;22;193;84
1757;Miroslav Klose;Forward;German;33;184;84
1758;Stephen Makinwa;Forward;Nigerian;NA;186;77
1759;Djibril Cisse;Forward;French;30;183;83
1760;Roberto Colombo;Goalkeeper;Italian;36;190;80
1761;Morgan De Sanctis;Goalkeeper;Italian;34;190;86
1762;Antonio Rosati;Goalkeeper;Italian;28;195;90
1763;Gianluca Grava;Defender;Italian;34;172;68
1764;Ignacio Fideleff;Defender;Argentinian;22;188;82
1765;Salvatore Aronica;Defender;Italian;33;181;78
1766;Hugo Armando Campagnaro;Defender;Argentinian;31;181;85
1767;Camilo Zuniga;Defender;Colombian;25;172;72
1768;Federico Fernandez;Defender;Argentinian;22;189;81
1769;Paolo Cannavaro;Defender;Italian;30;185;83
1770;Leandro Rinaudo;Defender;Italian;28;191;78
1771;Miguel Britos;Defender;Uruguayan;26;188;82
1772;Andrea Dossena;Midfielder;Italian;30;180;77
1773;Christian Maggio;Midfielder;Italian;29;184;79
1774;Marek Hamsik;Midfielder;Slovakian;24;183;73
1775;Blerim Dzemaili;Midfielder;Swiss;25;181;78
1776;Walter Gargano;Midfielder;Uruguayan;27;168;65
1777;Marco Donadel;Midfielder;Italian;28;179;73
1778;G<U+00F6>khan Inler;Midfielder;Swiss;27;182;80
1779;Edinson Cavani;Forward;Uruguayan;24;184;74
1780;Giuseppe Mascara;Forward;Italian;32;175;68
1781;Mario Santana;Forward;Argentinian;29;180;75
1782;Ezequiel Lavezzi;Forward;Argentinian;26;173;75
1783;Goran Pandev;Forward;Macedonian;28;184;75
1784;Cristian Gabriel Chavez;Forward;Argentinian;24;171;66
1785;Cristiano Lucarelli;Forward;Italian;35;188;84
1786;Samir Handanovic;Goalkeeper;Slovenian;27;193;88
1787;Emanuele Belardi;Goalkeeper;Italian;33;187;80
1788;Daniele Padelli;Goalkeeper;Italian;25;191;82
1789;Nikola Vujadinovic;Defender;Montenegrin;NA;191;84
1790;Mauricio Isla;Defender;Chilean;23;175;72
1791;Danilo;Defender;Brazilian;27;184;72
1792;Dusan Basta;Defender;Serbian;27;184;77
1793;Maurizio Domizzi;Defender;Italian;31;185;80
1794;Neuton;Defender;Brazilian;21;182;79
1795;Andrea Coda;Defender;Italian;26;188;81
1796;Mehdi Benatia;Defender;Moroccan;24;190;84
1797;Giovanni Pasquale;Defender;Italian;29;182;73
1798;Pablo Armero;Defender;Colombian;NA;174;71
1799;Damiano Ferronetti;Defender;Italian;26;183;70
1800;Gabriel Torje;Midfielder;Romanian;21;167;64
1801;Emmanuel Agyemang Badu;Midfielder;Ghanaian;20;182;77
1802;Kwadwo Asamoah;Midfielder;Ghanaian;22;178;78
1803;Almen Abdi;Midfielder;Swiss;24;180;75
1804;Thierry Doubai;Midfielder;Ivorian;23;180;75
1805;Diego Fabbrini;Midfielder;Italian;21;181;66
1806;Roberto Pereyra;Midfielder;Argentinian;20;182;74
1807;Giampiero Pinzi;Midfielder;Italian;30;180;73
1808;Barreto;Forward;Brazilian;26;171;59
1809;Antonio Di Natale;Forward;Italian;33;170;70
1810;Federico Laurito;Forward;Argentinian;21;182;71
1811;Antonio Floro Flores;Forward;Italian;28;182;76
1812;Rubinho;Goalkeeper;Brazilian;29;186;82
1813;Alexandros Tzorvas;Goalkeeper;Greek;29;188;80
1814;Francesco Benussi;Goalkeeper;Italian;29;189;86
1815;Andrea Mantovani;Defender;Italian;27;185;79
1816;Matias Silvestre;Defender;Argentinian;26;184;80
1817;Mauro Cetto;Defender;Argentinian;29;182;78
1818;Ezequiel Munoz;Defender;Argentinian;20;186;82
1819;Matias Aguirregaray;Defender;Uruguayan;22;174;78
1820;Eros Pisano;Defender;Italian;24;185;77
1821;Federico Balzaretti;Defender;Italian;29;178;70
1822;Edgar Barreto;Midfielder;Paraguayan;27;182;78
1823;Francesco Della Rocca;Midfielder;Italian;24;182;77
1824;Giulio Migliaccio;Midfielder;Italian;NA;178;72
1825;Nicolas Bertolo;Midfielder;Argentinian;25;180;75
1826;Armin Bacinovic;Midfielder;Slovenian;21;183;73
1827;Josip Ilicic;Midfielder;Slovenian;23;190;73
1828;Edgar <U+00C1>lvarez;Midfielder;Honduran;31;171;75
1829;Igor Budan;Forward;Croatian;31;185;80
1830;Fabrizio Miccoli;Forward;Italian;32;168;64
1831;Abel Hernandez;Forward;Uruguayan;21;185;73
1832;Mauricio Pinilla;Forward;Chilean;27;186;77
1833;Julio Sergio Bertagnoli;Goalkeeper;Brazilian;32;187;80
1834;Souleymane Diamoutene;Defender;Malian;28;185;78
1835;Andrea Esposito;Defender;Italian;25;187;78
1836;Massimo Oddo;Defender;Italian;35;182;76
1837;Nenad Tomovic;Defender;Serbian;24;184;81
1838;Moris Carrozzieri;Defender;Italian;30;192;90
1839;Bryan Bergougnoux;Midfielder;French;28;178;82
1840;Juan Guillermo Cuadrado;Midfielder;Colombian;23;176;67
1841;Christian Obodo;Midfielder;Nigerian;27;180;78
1842;Djamel Mesbah;Midfielder;Algerian;26;180;72
1843;Guillermo Giacomazzi;Midfielder;Uruguayan;33;183;81
1844;Carlos Grossm<U+00FC>ller;Midfielder;Uruguayan;28;184;79
1845;Ignacio Piatti;Midfielder;Argentinian;26;181;77
1846;Andrea Bertolacci;Midfielder;Italian;20;179;75
1847;Luis Fernando Muriel;Forward;Colombian;20;178;70
1848;Daniele Corvia;Forward;Italian;26;181;81
1849;Ruben Olivera;Forward;Uruguayan;28;182;79
1850;David Di Michele;Forward;Italian;35;171;72
1851;Cristian Pasquato;Forward;Italian;22;172;70
